speed_class,cell_type,vr_freq_cat,phase_values_for_norm_current,average_current,se_vchan,current_type
slow,V2aB,35,-0.43,0.2816789023621129,0.02432318476008294,excitatory
slow,V2aB,35,-0.42,0.27186349871225945,0.0237369248338763,excitatory
slow,V2aB,35,-0.41,0.2811578976196726,0.024301453858158784,excitatory
slow,V2aB,35,-0.4,0.30225909174786053,0.025600597262278067,excitatory
slow,V2aB,35,-0.39,0.3176787510974802,0.026858479767494572,excitatory
slow,V2aB,35,-0.38,0.33258148630800355,0.02774282164714518,excitatory
slow,V2aB,35,-0.37,0.3390486611352649,0.02870630672414058,excitatory
slow,V2aB,35,-0.36,0.35256321704331356,0.031087379632206258,excitatory
slow,V2aB,35,-0.35,0.37684911196547577,0.032002035924298365,excitatory
slow,V2aB,35,-0.34,0.39474657812950714,0.03191960828937601,excitatory
slow,V2aB,35,-0.33,0.4042937994911202,0.03185771130809072,excitatory
slow,V2aB,35,-0.32,0.41398140420014595,0.03211087558562283,excitatory
slow,V2aB,35,-0.31,0.4266356154891398,0.032263738604144984,excitatory
slow,V2aB,35,-0.3,0.441096117596937,0.03176526113127748,excitatory
slow,V2aB,35,-0.29,0.46335764029341575,0.03168308598301459,excitatory
slow,V2aB,35,-0.28,0.4817244185795594,0.031719755219516144,excitatory
slow,V2aB,35,-0.27,0.5042828935408201,0.03303854981874317,excitatory
slow,V2aB,35,-0.26,0.5221699072348226,0.03258410428993695,excitatory
slow,V2aB,35,-0.25,0.5380584061114527,0.030472709858506496,excitatory
slow,V2aB,35,-0.24,0.5517806696521856,0.030100222261944753,excitatory
slow,V2aB,35,-0.23,0.566982550815747,0.03111881864469303,excitatory
slow,V2aB,35,-0.22,0.5810486149996049,0.03077985210728962,excitatory
slow,V2aB,35,-0.21,0.5896346914291897,0.029914228758020696,excitatory
slow,V2aB,35,-0.2,0.5906921255719839,0.030187453523028634,excitatory
slow,V2aB,35,-0.19,0.5864471213997786,0.03149159835783476,excitatory
slow,V2aB,35,-0.18,0.5901876429477063,0.03268185660400235,excitatory
slow,V2aB,35,-0.17,0.5999825061861169,0.030508449742712128,excitatory
slow,V2aB,35,-0.16,0.595789460329589,0.02867703742990857,excitatory
