,Inhibitory,,,,,,Excitatory,,,,,,Statistics,,,,
,Trace name,ID,On time,Frequency,Swim description,,Trace name,ID,On time,Freq,Swim description,,,Inhibitory Current,Inhibitory Charge,Normalized Inhibitory Current,Normalized Inhibitory Charge
,2012_04_25_0032,63,8498.37,28.6287,,,2012_04_25_0029,60,9753.42,26.7451,,,,,,,
,2012_04_25_0032,64,8528.8,32.8623,,,2012_04_25_0029,61,9798.97,21.9539,,,,,,,
,2012_04_25_0032,65,8557.74,34.5543,bout end,,2012_04_25_0029,62,9840.59,24.0269,,,,,,,
,2012_04_25_0032,66,9133.48,1.7369,bout start; spontaneous,,2012_04_25_0029,63,9885.04,22.4972,,,,,,,
,2012_04_25_0032,67,9164.9,31.8269,,,2012_04_25_0029,64,9923.22,26.1917,,,,,,,
,2012_04_25_0032,68,9199.71,28.7274,,,2012_04_25_0029,65,9957.83,28.8934,bout end,,,,,,
,2012_04_25_0032,69,9238.5,25.7798,,,,,,,,,,,,,
,2012_04_25_0032,70,9276.22,26.5111,,,,,,,,,,,,,
,2012_04_25_0032,71,9314.34,26.2329,bout end,,,,,,,,,,,,
,2012_04_25_0033,1,1957.37,,bout start; shock,,,,,,,,,,,,
,2012_04_25_0033,2,1977.77,49.0196,,,,,,,,,,,,,
,2012_04_25_0033,3,2001.57,42.0168,,,,,,,,,,,,,
,2012_04_25_0033,4,2024.93,42.8082,,,,,,,,,,,,,
,2012_04_25_0033,5,2062.75,26.441,,,,,,,,,,,,,
,2012_04_25_0033,6,2105.04,23.6463,bout end,,,,,,,,,,,,
,2012_04_25_0033,7,2641.24,1.865,bout start; spontaneous,,,,,,,,,,,,
,2012_04_25_0033,8,2680.2,25.6674,,,,,,,,,,,,,
,2012_04_25_0033,9,2718.39,26.1849,,,,,,,,,,,,,
,2012_04_25_0033,10,2755.87,26.6809,,,,,,,,,,,,,
,2012_04_25_0033,11,2796.62,24.5399,,,,,,,,,,,,,
,2012_04_25_0033,12,2832.56,27.8242,,,,,,,,,,,,,
,2012_04_25_0033,13,2871.12,25.9336,,,,,,,,,,,,,
,2012_04_25_0033,14,2906.18,28.5225,,,,,,,,,,,,,
,2012_04_25_0033,15,2943.86,26.5393,,,,,,,,,,,,,
,2012_04_25_0033,16,2969.28,39.3391,bout end,,,,,,,,,,,,
,2012_04_25_0033,17,3833.96,1.1565,bout start; spontaneous,,,,,,,,,,,,
,2012_04_25_0033,18,3874.27,24.8077,,,,,,,,,,,,,
,2012_04_25_0033,19,3910.2,27.8319,,,,,,,,,,,,,
,2012_04_25_0033,20,3962.24,19.216,,,,,,,,,,,,,
,2012_04_25_0033,21,3999.12,27.115,,,,,,,,,,,,,
,2012_04_25_0033,22,4040.47,24.1838,,,,,,,,,,,,,
,2012_04_25_0033,23,4077.24,27.1961,,,,,,,,,,,,,
,2012_04_25_0033,24,4117.58,24.7893,bout end,,,,,,,,,,,,
,2012_04_25_0033,25,5013.67,1.116,bout start; spontaneous,,,,,,,,,,,,
,2012_04_25_0033,26,5051.8,26.2261,,,,,,,,,,,,,
,2012_04_25_0033,27,5087.4,28.0899,,,,,,,,,,,,,
,2012_04_25_0033,28,5130.29,23.3155,,,,,,,,,,,,,
,2012_04_25_0033,29,5170.15,25.0878,,,,,,,,,,,,,
,2012_04_25_0033,30,5204.78,28.8767,,,,,,,,,,,,,
,2012_04_25_0033,31,5240.76,27.7932,,,,,,,,,,,,,
,2012_04_25_0033,32,5276.32,28.1215,bout end,,,,,,,,,,,,
,2012_04_25_0033,33,6301.78,0.9752,bout start; spontaneous,,,,,,,,,,,,
,2012_04_25_0033,34,6340.21,26.0213,,,,,,,,,,,,,
,2012_04_25_0033,35,6378.95,25.8131,bout end,,,,,,,,,,,,
,2012_04_25_0033,36,6918.52,1.8533,bout start; shock,,,,,,,,,,,,
,2012_04_25_0033,37,6939.61,47.4158,,,,,,,,,,,,,
,2012_04_25_0033,38,6961.89,44.8833,,,,,,,,,,,,,
,2012_04_25_0033,39,6992.25,32.9381,,,,,,,,,,,,,
,2012_04_25_0033,40,7032.28,24.9813,bout end,,,,,,,,,,,,
