Trace name,ID,On time,Freq,Tags,Seconds
2012_04_25_0027,45,7977.6,32.0513,,7.977600000000001
2012_04_25_0027,46,8008.57,32.2893,,8.00857
2012_04_25_0027,47,8042.4,29.5596,,8.0424
2012_04_25_0027,48,8080.11,26.5182,,8.08011
2012_04_25_0027,49,8118.91,25.7732,,8.11891
2012_04_25_0027,50,8153.16,29.1971,,8.15316
2012_04_25_0027,51,8192.62,25.3421,bout end,8.192620000000002
2012_04_25_0027,52,8567.08,2.6705,bout start; spontaneous,8.56708
2012_04_25_0027,53,8601.75,28.8434,,8.601750000000001
2012_04_25_0027,54,8638.79,26.9978,,8.63879
2012_04_25_0027,55,8675.33,27.3673,,8.67533
2012_04_25_0027,56,8719.96,22.4065,,8.719959999999999
2012_04_25_0027,57,8750.53,32.7118,,8.750530000000001
2012_04_25_0027,58,8785.2,28.8434,,8.785200000000001
2012_04_25_0027,59,8823.88,25.8532,bout end,8.823879999999999
2012_04_25_0027,60,9014.51,5.2458,bout start; spontaneous,9.01451
2012_04_25_0027,61,9046.38,31.3775,,9.04638
2012_04_25_0027,62,9084.29,26.3783,,9.084290000000001
2012_04_25_0027,63,9120.98,27.2554,bout end,9.12098
2012_04_25_0028,1,2766.42,,bout start; shock,2.76642
2012_04_25_0028,2,2789.42,43.4783,,2.7894200000000002
2012_04_25_0028,3,2810.42,47.619,,2.81042
2012_04_25_0028,4,2837.12,37.4532,,2.83712
2012_04_25_0028,5,2864.78,36.1533,,2.86478
2012_04_25_0028,6,2896.74,31.2891,,2.89674
2012_04_25_0028,7,2934.35,26.5887,,2.93435
2012_04_25_0028,8,2977.49,23.1803,bout end,2.97749
2012_04_25_0028,9,6020.17,0.3287,bout start; shock,6.02017
2012_04_25_0028,10,6042.22,45.3515,,6.04222
2012_04_25_0028,11,6064.31,45.2694,,6.064310000000001
2012_04_25_0028,12,6085.25,47.7555,,6.08525
2012_04_25_0028,13,6114.99,33.6247,bout end,6.11499
2012_04_25_0028,14,8526.09,0.4147,bout start; shock,8.52609
2012_04_25_0028,15,8547.52,46.6636,,8.54752
2012_04_25_0028,16,8570.82,42.9185,,8.57082
2012_04_25_0028,17,8595.54,40.4531,,8.595540000000002
2012_04_25_0028,18,8626.55,32.2477,,8.62655
2012_04_25_0028,19,8663.04,27.4048,bout end,8.66304
2012_04_25_0029,1,1854.42,,bout start; shock,1.8544200000000002
2012_04_25_0029,2,1880.26,38.6997,,1.88026
2012_04_25_0029,3,1902.54,44.8833,,1.90254
2012_04_25_0029,4,1930.99,35.1494,,1.93099
2012_04_25_0029,5,1967.76,27.1961,bout end,1.96776
2012_04_25_0029,6,5682.28,0.2692,bout start; shock,5.6822799999999996
2012_04_25_0029,7,5703.92,46.2107,,5.70392
2012_04_25_0029,8,5728.89,40.0481,,5.728890000000001
2012_04_25_0029,9,5755.78,37.1885,,5.75578
2012_04_25_0029,10,5782.76,37.0645,,5.782760000000001
2012_04_25_0029,11,5811.67,34.5901,,5.81167
2012_04_25_0029,12,5853.44,23.9406,bout end,5.85344
2012_04_25_0029,13,6514.08,1.5137,bout start; shock,6.51408
2012_04_25_0029,14,6539.82,38.85,,6.53982
2012_04_25_0029,15,6563.41,42.3908,,6.56341
2012_04_25_0029,16,6589.24,38.7147,,6.58924
2012_04_25_0029,17,6619.25,33.3222,,6.61925
2012_04_25_0029,18,6651.92,30.6091,,6.6519200000000005
2012_04_25_0029,19,6686.35,29.0444,bout end,6.686350000000001
2012_04_25_0029,20,6821.73,7.3866,bout start; shock,6.82173
2012_04_25_0029,21,6850.54,34.7102,,6.8505400000000005
2012_04_25_0029,22,6874.28,42.123,,6.87428
2012_04_25_0029,23,6900.41,38.2702,,6.90041
2012_04_25_0029,24,6931.7,31.9591,,6.9317
2012_04_25_0029,25,6966.56,28.6862,,6.96656
2012_04_25_0029,26,6992.7,38.2555,bout end,6.9927
2012_04_25_0029,27,7292.98,3.3302,bout start; spontaneous,7.29298
2012_04_25_0029,28,7325.05,31.1818,,7.32505
2012_04_25_0029,29,7357.82,30.5157,,7.35782
2012_04_25_0029,30,7390.79,30.3306,,7.39079
2012_04_25_0029,31,7425.65,28.6862,,7.42565
2012_04_25_0029,32,7462.05,27.4725,,7.4620500000000005
2012_04_25_0029,33,7496.42,29.0951,,7.4964200000000005
2012_04_25_0029,34,7533.78,26.7666,,7.53378
2012_04_25_0029,35,7569.89,27.6932,,7.569890000000001
2012_04_25_0029,36,7605.01,28.4738,,7.60501
2012_04_25_0029,37,7638.74,29.6472,bout end,7.63874
2012_04_25_0029,38,7869.19,4.3393,bout start; spontaneous,7.86919
2012_04_25_0029,39,7903.13,29.4638,,7.90313
2012_04_25_0029,40,7938.87,27.9799,,7.93887
2012_04_25_0029,41,7978.01,25.5493,,7.97801
2012_04_25_0029,42,8016.02,26.3089,,8.016020000000001
2012_04_25_0029,43,8054.26,26.1506,,8.054260000000001
2012_04_25_0029,44,8098.06,22.8311,bout end,8.09806
2012_04_25_0029,45,8277.55,5.5713,bout start; spontaneous,8.27755
2012_04_25_0029,46,8314.02,27.4198,,8.314020000000001
2012_04_25_0029,47,8349.97,27.8164,,8.349969999999999
2012_04_25_0029,48,8386.56,27.3299,,8.38656
2012_04_25_0029,49,8425.88,25.4323,,8.42588
2012_04_25_0029,50,8462.38,27.3973,,8.46238
2012_04_25_0029,51,8501.31,25.6871,bout end,8.50131
2012_04_25_0029,52,8720.56,4.561,bout start; spontaneous,8.720559999999999
2012_04_25_0029,53,8759.39,25.7533,,8.75939
2012_04_25_0029,54,8798.05,25.8665,,8.79805
2012_04_25_0029,55,8838.26,24.8694,bout end,8.83826
2012_04_25_0029,56,9604.98,1.3043,bout start; spontaneous,9.60498
2012_04_25_0029,57,9642.28,26.8097,,9.642280000000001
2012_04_25_0029,58,9680.36,26.2605,,9.68036
2012_04_25_0029,59,9716.03,28.0348,,9.716030000000002
2012_04_25_0029,60,9753.42,26.7451,,9.75342
2012_04_25_0029,61,9798.97,21.9539,,9.798969999999999
2012_04_25_0029,62,9840.59,24.0269,,9.84059
2012_04_25_0029,63,9885.04,22.4972,,9.885040000000002
2012_04_25_0029,64,9923.22,26.1917,,9.923219999999999
2012_04_25_0029,65,9957.83,28.8934,bout end,9.95783
